question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,category,roleType,tags,explanation
"What does JVM stand for?","Java Virtual Machine","Java Version Manager","Java Visual Mode","Java Verification Module","0","EASY","TECHNICAL","JAVA_BACKEND","Java|Core|JVM","JVM stands for Java Virtual Machine which executes Java bytecode"
"Which keyword is used to inherit a class in Java?","inherit","implements","extends","super","2","EASY","TECHNICAL","JAVA_BACKEND","Java|OOP|Inheritance","The 'extends' keyword is used to inherit a class in Java"
"What is the default value of an int variable in Java?","null","0","undefined","1","1","EASY","TECHNICAL","JAVA_BACKEND","Java|Variables|Datatypes","The default value of int in Java is 0"
"Which collection allows duplicate elements?","Set","HashSet","List","TreeSet","2","MEDIUM","TECHNICAL","JAVA_BACKEND","Java|Collections|List","List allows duplicate elements while Set does not"
"What is the purpose of the 'final' keyword?","To define constants","To prevent inheritance","To prevent method overriding","All of the above","3","MEDIUM","TECHNICAL","JAVA_BACKEND","Java|Keywords|Final","Final can be used for constants, preventing inheritance, and preventing overriding"
"Which design pattern ensures only one instance of a class?","Factory","Observer","Singleton","Builder","2","MEDIUM","TECHNICAL","JAVA_BACKEND","Java|DesignPatterns|Singleton","Singleton pattern restricts instantiation to one object"
"What is the difference between == and .equals()?","No difference","== compares references, .equals() compares values","== compares values, .equals() compares references","Both compare references","1","MEDIUM","TECHNICAL","JAVA_BACKEND","Java|Comparison|Equals","== compares object references while .equals() compares actual values"
"What is dependency injection in Spring?","Creating objects manually","Framework provides object dependencies","Injecting SQL queries","None of the above","1","HARD","TECHNICAL","JAVA_BACKEND","Spring|DI|IoC","Dependency Injection is a design pattern where the framework injects dependencies into objects"
"What annotation is used to mark a REST controller in Spring Boot?","@Controller","@RestController","@Service","@Component","1","EASY","TECHNICAL","JAVA_BACKEND","Spring|REST|Controller","@RestController is used for creating RESTful web services"
"Which HTTP method is idempotent?","POST","GET","PATCH","None","1","MEDIUM","TECHNICAL","JAVA_BACKEND","REST|HTTP|GET","GET is idempotent - multiple identical requests have the same effect as a single request"
